linea,hora_inicio,hora_fin,conductores,vehiculos,precio,descuento
L11,05:45,22:15,"['Silvia Martina Estevez Tejada', 'Jeremías Martínez Domínguez', 'Sofía Colom Bayo', 'Pepito Vallejo Alcántara', 'Gaspar Cámara Andrade', 'Brígida Pomares', 'Feliciana Manso Acosta']","['Tranvia_51', 'Bus_81', 'Bus_95', 'Bus_62', 'Bus_45', 'Bus_1', 'Bus_26']",1.47,0.41
L12,05:00,20:00,"['Jonatan Marín-Fortuny', 'Tomás Pinedo Almazán', 'Alba Morante Macías', 'Nicolás Sanmartín Arce', 'Sebastian Colomer Aller', 'Armando Baeza-Vilanova', 'Antonia Ibarra Quintanilla']","['Tranvia_92', 'Bus_87', 'Bus_68', 'Bus_13', 'Bus_87', 'Tranvia_41', 'Tranvia_31']",2.47,0.18
L13,07:15,23:45,"['Crescencia Bayón Saura', 'Donato Amaya-Chico', 'Rufina Fabiana Aramburu Palau', 'Ascensión de Noriega', 'Geraldo de Lamas', 'Evita Solís', 'Maximiano Rodrigo', 'Leonor del Benavent', 'Martín Olmedo']","['Bus_10', 'Bus_71', 'Bus_47', 'Bus_29', 'Bus_89', 'Bus_90', 'Bus_7', 'Bus_30', 'Bus_69']",2.06,0.27
L14,06:30,21:45,"['Cecilia Juliá', 'Chelo Canet Abad', 'Maura Sanmartín Ribas', 'Narcisa Serafina Rozas Arrieta', 'Norberto Boada Zaragoza', 'Cándido Meléndez Pol']","['Bus_77', 'Tranvia_14', 'Bus_62', 'Bus_53', 'Tranvia_72', 'Tranvia_72']",2.87,0.13
L15,05:45,20:15,"['Godofredo de Barco', 'Maura Soria Castelló', 'Zaira Tomé', 'Clotilde Adadia Giménez', 'Ulises Jove Ocaña', 'Gonzalo Orozco', 'Pascual Villanueva Yuste', 'Rómulo Yáñez', 'Julieta Duarte Real', 'Fátima Almazán Perales', 'Rufino Pedraza-Corominas']","['Bus_68', 'Bus_84', 'Bus_84', 'Bus_82', 'Bus_61', 'Tranvia_85', 'Bus_20', 'Bus_76', 'Tranvia_23', 'Bus_46', 'Bus_32']",1.89,0.33
L16,05:00,21:15,"['Lucho Zacarías Cuesta Castells', 'Rosa Gabriela Bartolomé Cabañas', 'Goyo Oliver Sobrino', 'Samanta Guerra Cerdá', 'Cristóbal Palacios Atienza', 'Anastasio Roselló Hoyos', 'Rebeca Cózar-Talavera', 'Fabio Carro Folch', 'Adelardo del Moliner']","['Bus_28', 'Tranvia_44', 'Tranvia_37', 'Bus_10', 'Bus_84', 'Tranvia_75', 'Tranvia_27', 'Bus_46', 'Bus_99']",2.96,0.3
L17,06:00,22:00,"['Fausto Fernandez', 'Loreto Bejarano Gual', 'Bonifacio Ropero Aragonés', 'Trinidad Carmen Bellido Mínguez', 'Dimas Buendía Cabo', 'Jose Carlos del Ortega', 'Salomón Lago Céspedes', 'Ildefonso Salas', 'Lourdes Ariza Figuerola', 'Valentín Milla Jara']","['Bus_29', 'Bus_9', 'Bus_18', 'Bus_99', 'Bus_100', 'Bus_67', 'Bus_66', 'Bus_86', 'Bus_68', 'Tranvia_89']",1.04,0.33
L18,07:15,20:15,"['Candela Moliner', 'Ángel Amador Cerdán', 'Dafne Raquel Maestre Bellido', 'Zaida Recio Infante', 'Estela de Garrido', 'Emiliano Santos Manzanares', 'Jacinta Pujol Pagès', 'Begoña Aguiló Sáenz', 'Trinidad Coca Cámara', 'Candelario Manrique Tejada', 'Abilio Clavero Galindo', 'Estrella Busquets Méndez', 'Darío del Roselló', 'Mohamed Linares-Morata', 'María Pinto Cortes', 'Damián Pedrosa Amorós', 'Adoración de Castell', 'Ester Barrios Aparicio']","['Bus_28', 'Bus_82', 'Bus_66', 'Tranvia_74', 'Tranvia_8', 'Tranvia_91', 'Bus_19', 'Bus_12', 'Bus_39', 'Tranvia_6', 'Tranvia_23', 'Bus_23', 'Bus_2', 'Bus_55', 'Tranvia_12', 'Bus_23', 'Bus_9', 'Tranvia_74']",1.8,0.49
L19,06:15,21:45,"['Basilio del Giralt', 'Socorro Salmerón', 'Florina Tovar Blanco', 'Lilia Olalla Pallarès Millán', 'Febe Acosta Palmer', 'Mario Ramirez Abellán', 'Erasmo Fuster Quintanilla', 'Amador Echevarría Guijarro', 'Emma Cid Gonzalo', 'Chita Marisol Arregui Rosado', 'Manolo Aranda Maestre', 'Andrés Felipe Alvarez Dueñas']","['Bus_40', 'Bus_22', 'Bus_59', 'Tranvia_59', 'Tranvia_3', 'Bus_77', 'Bus_44', 'Bus_76', 'Tranvia_6', 'Bus_10', 'Bus_46', 'Bus_96']",1.44,0.17
L20,05:00,22:15,"['Eusebio Bilbao Campos', 'Iván Recio Aguirre', 'Apolinar Bejarano Mas', 'Dolores Higueras Segovia', 'Sofía Peinado', 'Emiliano Hurtado Bayón', 'María Ángeles Quirós Vergara', 'Lupe Pons Cuéllar', 'Azahar Trujillo-Elorza', 'Martín Bueno Pou', 'Adoración Amaya Arnal']","['Bus_95', 'Tranvia_4', 'Bus_9', 'Tranvia_3', 'Bus_40', 'Tranvia_92', 'Bus_25', 'Tranvia_66', 'Tranvia_68', 'Bus_14', 'Bus_24']",1.53,0.45
L21,07:00,22:45,"['Augusto Pablo Miró Borrell', 'Atilio Poncio Aguilera Casares', 'Tatiana Sancho Beltran', 'Rosaura Alsina-Farré', 'Cruz Viana-Santamaría', 'Jose Ignacio Reinaldo Padilla Saldaña', 'Camila España Oller', 'Luis Miguel Bartolomé Correa Campo', 'Raúl Moreno Querol', 'Ana Belén Bermejo Boada', 'Teófila Rosado Benavides']","['Bus_1', 'Bus_92', 'Bus_74', 'Bus_10', 'Bus_78', 'Bus_67', 'Bus_85', 'Bus_35', 'Bus_17', 'Tranvia_39', 'Bus_82']",2.81,0.25
L22,06:15,23:00,"['Nélida Guillén Rivero', 'Melania de Carmona', 'Candelario Cabañas', 'Ricarda Herranz Redondo', 'Goyo Buendía Amores', 'Clotilde Gisela Calvet Colom', 'Leopoldo Carranza-Alvarado', 'Marisol Jara-Roca', 'Mariana Ruiz Valls', 'Albino Ríos Mulet', 'Luciana Coello-Gilabert', 'Anastasia Sevilla Mendizábal']","['Bus_28', 'Bus_74', 'Bus_19', 'Bus_5', 'Bus_68', 'Bus_42', 'Bus_21', 'Tranvia_1', 'Bus_2', 'Bus_20', 'Tranvia_59', 'Bus_100']",2.54,0.13
L23,05:15,23:15,"['Herminio Palomo Abril', 'Serafina Azahara Tena Peñalver', 'Mauricio de Bellido', 'Reinaldo de Aranda', 'Calixta Cazorla Tomas', 'Reynaldo Barbero Padilla', 'Pánfilo Calderón-Tomas', 'José del Cámara', 'África Catalá', 'José Antonio de Torrecilla', 'Darío Feijoo Guardia']","['Bus_14', 'Bus_33', 'Bus_76', 'Tranvia_42', 'Tranvia_56', 'Bus_77', 'Tranvia_15', 'Bus_69', 'Tranvia_65', 'Bus_72', 'Tranvia_90']",1.78,0.23
L24,07:30,23:00,"['Armando Martínez Puerta', 'Clementina Alcalde Pagès', 'Hilario Moll Guillen', 'Germán Carrasco Aragonés', 'Crescencia Mata Ariño', 'Fernando Diez', 'Zaira Zamora', 'Vidal Plaza Borja', 'Ruperto Prieto Vilalta']","['Bus_7', 'Tranvia_18', 'Bus_88', 'Bus_4', 'Bus_38', 'Bus_53', 'Bus_21', 'Tranvia_22', 'Tranvia_62']",2.83,0.2
L25,05:15,21:00,"['Sonia Alonso Sans', 'Antonia del Gálvez', 'Maricela Bayona', 'Bernardino Juliá Antúnez', 'Elena Vega Uría', 'Teodosio Benavides Caro', 'Flavia Cuervo Nogués']","['Tranvia_67', 'Bus_92', 'Bus_30', 'Bus_88', 'Tranvia_75', 'Bus_88', 'Bus_17']",2.96,0.38
L26,06:00,20:00,"['Cintia Sosa Sastre', 'Marciano Andreu Palacios', 'Isidora Alsina Hervás', 'Martin Calderon Martinez', 'Candelaria Cueto Crespo', 'Francisco Jose Olegario Pascual Navas', 'Maristela Celia Parejo Saavedra', 'Tamara Pino Amores', 'Juana Dominguez Alcolea', 'María Dolores Criado Martínez', 'Natalio Sedano Parra', 'Román de Valcárcel', 'Concha Méndez Aparicio']","['Bus_50', 'Bus_59', 'Bus_11', 'Bus_19', 'Bus_95', 'Bus_25', 'Bus_17', 'Tranvia_64', 'Bus_89', 'Bus_85', 'Bus_22', 'Bus_19', 'Tranvia_38']",1.27,0.38
L27,05:15,23:30,"['Isaura Romeu Coello', 'Fidela de Salgado', 'Régulo Arellano', 'Esmeralda del Mármol', 'Nydia Patricia Vega Fernandez', 'Nacho Jimenez Pérez', 'Guiomar Aparicio']","['Tranvia_19', 'Bus_50', 'Bus_10', 'Bus_57', 'Bus_91', 'Bus_82', 'Bus_90']",1.97,0.39
L28,07:15,23:00,"['Emiliano Piquer Mesa', 'Samanta Castilla Espinosa', 'Isabel Olmo Alsina', 'Íngrid Emma Carbonell Lozano', 'Pánfilo del Bru', 'Alejandro Lloret', 'Raúl Machado Roig', 'Pili Llamas Feijoo']","['Tranvia_69', 'Tranvia_59', 'Bus_52', 'Tranvia_99', 'Tranvia_2', 'Tranvia_38', 'Bus_93', 'Tranvia_66']",1.63,0.34
L29,07:45,21:45,"['Armida Ferreras Roselló', 'Eusebia Soto-Gibert', 'Fausto Esteban Pons Moll', 'Luciana Piñol Verdú', 'Ale Alberto Solsona', 'José Antonio Perea', 'Jorge Cruz Segovia', 'Gabriela Martinez Arias', 'Galo Campoy Solís']","['Tranvia_52', 'Bus_65', 'Bus_78', 'Tranvia_37', 'Bus_62', 'Bus_76', 'Bus_96', 'Tranvia_22', 'Bus_22']",2.09,0.22
L30,06:45,22:45,"['Lola García Acero', 'Valentina del Valls', 'Serafina Franco Almeida', 'María Fernanda Serna Guzmán', 'Tamara Martín Pol', 'Yago Saez Pulido', 'Paulino Ramos Garriga']","['Bus_75', 'Bus_72', 'Tranvia_88', 'Bus_75', 'Tranvia_11', 'Bus_6', 'Bus_1']",1.94,0.4
L31,07:30,23:15,"['Plácido Gallo Bermejo', 'Tecla de Lobo', 'Joan Pizarro Barriga', 'Mariano Gilabert', 'Leticia Donoso-Frutos', 'Edu Sanabria-Miró', 'Fortunata Ramírez Gabaldón', 'Nydia Mirta Alberto Quirós', 'Mamen del Aragonés', 'Marianela Losada Olivé', 'Dionisia Muro Salmerón', 'Raimundo Prat Villegas', 'Narciso Seve Castilla Ortiz', 'Odalys Carlos', 'Coral Aller Ribera', 'Manolo Báez-Carrasco']","['Bus_37', 'Bus_17', 'Bus_52', 'Tranvia_27', 'Bus_63', 'Bus_30', 'Tranvia_27', 'Tranvia_74', 'Bus_9', 'Bus_93', 'Bus_13', 'Tranvia_31', 'Bus_13', 'Bus_33', 'Tranvia_3', 'Tranvia_68']",2.01,0.11
L32,05:45,23:30,"['Sigfrido Virgilio Valenciano Corral', 'Cloe Isabela Cuenca Arteaga', 'Amada Fanny Pi Araujo', 'Albino Zaragoza Montaña', 'Melania Mendizábal Llano', 'Humberto Ferrán Villegas', 'Narciso Franco Gil', 'Micaela Encarnacion Burgos Leal', 'Nayara Checa Arce', 'Julieta Hoyos Oliver', 'Fabiana del Chacón']","['Bus_50', 'Tranvia_30', 'Bus_89', 'Bus_48', 'Tranvia_80', 'Bus_85', 'Tranvia_89', 'Bus_85', 'Bus_14', 'Bus_16', 'Bus_23']",2.93,0.19
L33,06:15,21:30,"['Mariano de Llopis', 'Lorenzo Sastre Cid', 'Socorro del Iglesia', 'Maura Salazar Zorrilla', 'Aránzazu del Teruel', 'Eva Castro-Mata', 'Carlos Iglesias Reguera', 'Victoria Cabañas-Paz', 'Florinda Benito-Zamorano']","['Tranvia_33', 'Bus_69', 'Tranvia_54', 'Bus_46', 'Bus_59', 'Bus_15', 'Tranvia_4', 'Bus_26', 'Bus_72']",2.17,0.45
L34,05:00,22:30,"['David Abellán Pino', 'Itziar Cabeza Bernad', 'Rosalva Neira Pereira', 'Jaime Carvajal Alcázar', 'Iker Ortega Castro', 'Josué Manuel Oliveras Recio', 'Plinio Clemente-Pazos', 'Herberto Borja Luján Hernández']","['Bus_92', 'Bus_31', 'Tranvia_26', 'Bus_35', 'Bus_12', 'Bus_30', 'Bus_72', 'Tranvia_10']",1.09,0.4
L35,05:30,22:45,"['Hilda Canet Elorza', 'Esteban Enrique Bernat Tolosa', 'Otilia Quesada Campillo', 'Arturo de Calderón', 'Narcisa Baños Galiano', 'Amador Abellán-Conesa', 'América Mayol Dávila', 'Amor del Pereira', 'Casandra de Estrada', 'Fortunata Vazquez Hernández', 'Ricardo Sarmiento Madrid']","['Bus_56', 'Tranvia_67', 'Bus_73', 'Tranvia_91', 'Bus_8', 'Tranvia_24', 'Bus_2', 'Tranvia_37', 'Bus_44', 'Bus_36', 'Bus_92']",1.03,0.22
L36,05:15,20:45,"['Hugo Ávila Sacristán', 'Ana Belén Peña Toro', 'Lidia Robles Albero', 'Candelario Gaspar Chamorro Ocaña', 'Daniel Jaén Arroyo', 'Encarnacion Duran Aguirre', 'Lidia Pablo Villalobos', 'Leocadio Nogueira Osuna', 'Lorenzo Pujol Gutierrez', 'Juanito Arco Lobo']","['Bus_38', 'Bus_16', 'Tranvia_89', 'Bus_96', 'Tranvia_17', 'Tranvia_7', 'Bus_61', 'Bus_40', 'Bus_93', 'Bus_39']",2.08,0.45
L37,05:45,22:15,"['Eloy de Noriega', 'Dionisio Carreras Parejo', 'Selena Tomas Guijarro', 'Flora Villa Bou', 'Marc Ortuño-Ferreras', 'José del Reig', 'Ramón de Contreras', 'Curro Pont Lillo', 'Eusebia Borrás Balaguer']","['Tranvia_91', 'Tranvia_4', 'Tranvia_64', 'Bus_26', 'Bus_100', 'Bus_44', 'Tranvia_69', 'Bus_18', 'Bus_62']",2.71,0.36
L38,05:30,20:00,"['Amado Suarez Marqués', 'Julio César Plana', 'Eva Figuerola Terrón', 'Loreto Coello Sotelo', 'Selena Nevado-Múgica', 'Baudelio Clavero Aller', 'Félix Araujo', 'José Luis Ruben Blanca Salvador', 'Ale Gallart']","['Bus_35', 'Bus_31', 'Tranvia_63', 'Bus_22', 'Bus_35', 'Bus_97', 'Tranvia_91', 'Bus_82', 'Bus_38']",1.28,0.1
L39,07:30,22:30,"['Azeneth Castells-Marti', 'Teodoro Nico Alcalde Cuadrado', 'Vicente Villena Ribas', 'Nayara Briones-Pérez', 'Damián Bastida Almazán', 'Encarna Criado Pina', 'Edelmira Arjona Barranco', 'Dan Manzano', 'Viviana Álvaro Borrás', 'Eutimio Ariza Enríquez', 'Raquel Barrio Uriarte']","['Bus_99', 'Bus_11', 'Bus_38', 'Bus_83', 'Bus_51', 'Tranvia_77', 'Bus_72', 'Bus_66', 'Bus_34', 'Tranvia_91', 'Bus_93']",1.49,0.26
L40,05:15,21:30,"['Marina Chaparro Barrera', 'Balduino Calderon Quirós', 'Javier Pablo Vendrell Arnaiz', 'Evelia Baquero Fuentes', 'Bibiana Planas-Benítez', 'Amílcar Pelayo', 'Raúl Pinilla Perea', 'Maite de Tomás', 'Manu del Fajardo', 'Amílcar de Campillo', 'Alba Barragán Barberá']","['Bus_44', 'Bus_78', 'Tranvia_51', 'Bus_42', 'Bus_27', 'Tranvia_63', 'Bus_65', 'Tranvia_51', 'Bus_58', 'Bus_6', 'Bus_34']",1.57,0.23
L41,05:45,21:00,"['Chus Borrego Capdevila', 'Adelardo Garcés Roda', 'Rosalía Campos', 'Ramona Llabrés Rios', 'Loida Puente Palacio', 'Nadia Novoa']","['Bus_24', 'Tranvia_73', 'Bus_77', 'Bus_81', 'Tranvia_51', 'Bus_66']",1.69,0.1
L42,07:15,21:45,"['Esther Clara Torrecilla Ponce', 'Otilia Cerdán Reig', 'Esmeralda Marí Uría', 'Noé Peiró', 'Tiburcio Macías Rocamora', 'Teresita Chacón Amat']","['Bus_79', 'Bus_85', 'Bus_5', 'Tranvia_49', 'Bus_6', 'Bus_71']",2.77,0.36
L43,06:00,23:15,"['Felisa Pozuelo Caparrós', 'María Jesús Barón Fuertes', 'Araceli Almeida', 'Esmeralda Palacio Arias', 'Venceslás Larrea Molins', 'Vera Renata Ferrera Sandoval', 'Selena Flor Soriano', 'Florencia Galvez Oliveras', 'Urbano Martí Farré', 'Cecilio Eutropio Losada Uribe', 'Benigno Iriarte Pozuelo', 'Fabiola Rodriguez Pizarro', 'Rosario Carmona Sotelo']","['Tranvia_3', 'Bus_25', 'Bus_81', 'Bus_97', 'Bus_91', 'Bus_34', 'Bus_85', 'Bus_65', 'Tranvia_16', 'Bus_52', 'Bus_34', 'Bus_96', 'Bus_88']",2.21,0.46
L44,07:00,23:45,"['Matías Belmonte Vera', 'Jose Antonio Salvà Bernad', 'Etelvina Trillo Sosa', 'Celia Estefanía Moles Lasa', 'Marisol Soria', 'Reynaldo Ortuño Marti', 'Eutropio Costa', 'Noa Roman Bermúdez', 'Albina Diego-Mínguez', 'Marino Miranda', 'Aurelio de Viñas', 'Geraldo Álvaro Pombo Toro']","['Bus_100', 'Bus_25', 'Bus_77', 'Bus_74', 'Bus_55', 'Bus_22', 'Bus_38', 'Bus_78', 'Bus_33', 'Bus_90', 'Bus_62', 'Bus_65']",1.13,0.2
L45,05:00,20:30,"['Timoteo Severiano Macías Arcos', 'Severiano de Giralt', 'Eleuterio Leocadio Rey Planas', 'Valeria Guerra Izquierdo', 'Cecilia Torrecilla Juan', 'Jose Luis Ernesto Calzada Piñeiro', 'Laura Luján-Balaguer', 'Eva Baños', 'Ramón Amor Hurtado', 'Ismael Martínez Silva', 'Elena Alvarado Serra', 'Cayetana Tenorio Ayala', 'Teófila del Rios']","['Tranvia_40', 'Bus_30', 'Bus_23', 'Tranvia_95', 'Bus_40', 'Bus_33', 'Bus_3', 'Bus_57', 'Tranvia_35', 'Tranvia_13', 'Bus_14', 'Bus_35', 'Bus_15']",1.3,0.15
L46,06:45,23:30,"['Gloria Rebollo Sarabia', 'Mar Catalán Ariza', 'Hector Huerta Paredes', 'Anastasia Tere Sevilla Larrea', 'Sara Ribera Rey', 'Oriana Prats Pablo', 'Tatiana Quintero Vega', 'Porfirio Donoso Cornejo', 'José Ángel Marin Diez', 'Maximino Bellido Alvarado', 'Jose Luis Alsina Carmona']","['Bus_45', 'Bus_66', 'Bus_51', 'Bus_86', 'Tranvia_89', 'Tranvia_11', 'Bus_36', 'Bus_44', 'Bus_56', 'Bus_39', 'Bus_28']",2.43,0.46
L47,05:30,23:15,"['Aníbal Redondo Nicolau', 'Pancho Camps Llorente', 'Guadalupe del Leon', 'Borja Severo Barceló Garrido', 'Albino del Patiño', 'Susanita Báez Infante']","['Bus_71', 'Bus_99', 'Bus_80', 'Bus_45', 'Tranvia_12', 'Bus_62']",1.62,0.19
L48,07:00,21:00,"['Jose Ramón Castellanos Calderón', 'Purificación Díez Sabater', 'Aurelio Álvaro Cañizares', 'Pilar Perales Gelabert', 'Yésica Garcia Colomer', 'Aurelio Valdés Villena', 'Tomás del Guardia', 'Modesta Huerta']","['Bus_91', 'Bus_89', 'Tranvia_13', 'Tranvia_76', 'Tranvia_43', 'Bus_42', 'Bus_92', 'Bus_54']",1.77,0.15
L49,06:00,23:15,"['Candelas Mayoral', 'Maristela Vazquez Velázquez', 'Guadalupe Sebastián-Rovira', 'Priscila Aragonés Sanmartín', 'Gustavo Puga Cazorla', 'Apolinar Prudencio Valenzuela Bonet', 'Ciriaco Rivero Anglada']","['Tranvia_47', 'Bus_16', 'Bus_5', 'Tranvia_39', 'Bus_92', 'Tranvia_75', 'Bus_94']",1.58,0.45
L50,07:45,22:15,"['Azahara Ramón Crespo', 'Gervasio del Rosa', 'Rosalinda Valeria Pareja Escamilla', 'Purificación Piñeiro Calatayud', 'Nilda del Bauzà', 'Soraya Castellanos', 'Alonso Heras Chaves', 'Lilia Blazquez Cerdán', 'Teresita Millán-Salazar', 'Olga del Esparza', 'Brunilda Garzón Jove', 'Filomena Segura Exposito', 'Josué Echevarría Alsina', 'Florinda Soria-Huguet', 'Angélica Bello-Castellanos', 'Sandra Zurita Somoza', 'Glauco Amando Garcia Peñalver']","['Bus_90', 'Bus_43', 'Bus_56', 'Bus_61', 'Bus_73', 'Tranvia_17', 'Bus_34', 'Tranvia_87', 'Bus_63', 'Bus_26', 'Bus_27', 'Bus_87', 'Bus_82', 'Bus_85', 'Tranvia_47', 'Bus_58', 'Bus_67']",1.96,0.44
L51,07:30,21:30,"['Lorenza Navarro-Benavent', 'Rosenda Nuñez Ureña', 'Norberto Canet-Roldan', 'Dorita Badía Valdés', 'Luís de Pazos', 'Ismael Ferrández Montserrat', 'Rosario Diego Fernandez', 'Óscar Ferrer Crespo', 'Francisco Jose Tamarit Benítez', 'Eloísa Gelabert']","['Bus_38', 'Tranvia_16', 'Tranvia_52', 'Bus_49', 'Bus_3', 'Bus_64', 'Bus_48', 'Bus_45', 'Bus_53', 'Bus_40']",1.89,0.28
L52,05:15,21:15,"['Lorenza Flores Martinez', 'Francisco de Andreu', 'Maricela Noa Ramirez Pou', 'Lola Madrigal Pinilla', 'Ariadna de Zurita', 'Milagros Rocío Pallarès Español', 'Leoncio Ordóñez-Guardiola', 'María Teresa Herrero Castrillo', 'Natanael Asdrubal Gargallo Cuenca', 'Ignacia Zapata Alvarado', 'Virgilio del Jimenez', 'Encarna Lara Azcona']","['Tranvia_8', 'Bus_17', 'Tranvia_11', 'Bus_97', 'Bus_46', 'Tranvia_85', 'Bus_19', 'Tranvia_92', 'Bus_37', 'Bus_70', 'Bus_40', 'Bus_92']",2.08,0.26
L53,07:45,23:15,"['Jose Miguel Dimas Palomar Valdés', 'Marianela Paniagua', 'Armida Solera Palacios', 'Anna Evita Valderrama Daza', 'Nico Alsina Silva', 'Ricardo Lledó', 'Chus Cadenas-Escolano', 'Javiera Martí Quirós', 'Álvaro Isaías Guitart Villa', 'Alejo Arribas Agullo']","['Bus_28', 'Bus_75', 'Tranvia_55', 'Tranvia_39', 'Bus_84', 'Tranvia_3', 'Bus_90', 'Bus_81', 'Bus_9', 'Bus_85']",2.39,0.19
